#30.01.2023
#Porównanie wyników dla modelu centralnego spinu:
#wyniki Jakuba Korsaka
#https://github.com/korsakjakub/cs_q_sim/blob/main/outputs/2023-01-30T10:51:21%2B01:00
#a wyniki z programu Jacka Dobrzynieckiego.
#
#Badany układ:
#H = B \sum_{k=1}^N S^k_z  +  B_0 S^0_z  +  \sum_{k=1}^N C_k [ S^0_+ S^k_-   +   H.c. ]
#Parametry hamiltonianu:
#Pole magnetyczne B = 1000
#Pole magnetyczne B_0 = 1002
#Parametry oddziaływań: (przyjmując numerację spinów środowiskowych od 0 do 7)
#C_0 = 22.46935609503098
#C_1 = -44.93871218982019
#C_2 = 22.46935609503098
#C_3 = 89.87742437988217
#C_4 = 22.46935609503098
#C_5 = -44.93871218982019
#C_6 = 22.46935609503098
#C_7 = 89.87742437988217
#Jednostki energii = h x Hz
#Stan początkowy: spin centralny - dół, spiny środowiskowe - uuuudddd
#
#Kolumny z danymi:
#time[JK][seconds/2π]	czas (wartości "x") z pliku z wynikami J. Korsaka [w sekundach/2π]
#central_spin[JK]	central spin (wartości "y") z pliku z wynikami J. Korsaka
#time[JK][seconds]	czas (wartości "x") z pliku z wynikami J. Korsaka [przeliczony na jednostki sekund]
#central_spin_modified[JK]	central spin (wartości "y") z pliku z wynikami J. Korsaka, zmodyfikowany przez dodanie wartości ~0.164
#time[JD][seconds]	czas wg wyników Jacka Dobrzynieckiego
#central_spin[JD]	central spin wg wyników Jacka Dobrzynieckiego
#
#
#time[JK][seconds/2π]	central_spin[JK]	time[JK][seconds]	central_spin_modified[JK]	time[JD][seconds]	central_spin[JD]
0.131	-0.158437611823616	0.0208492975450383	0.00576364362475942	0.020849305	-0.00697
0.132	-0.16294713947395	0.0210084524881302	0.00125411597442512	0.02100846	-0.01021
0.133	-0.16260491478828	0.0211676074312221	0.00159634066009473	0.021167615	-0.00886
0.134	-0.15691743902908	0.021326762374314	0.00728381641929474	0.02132677	-0.00254
0.135	-0.14626103572661	0.0214859173174059	0.0179402197217652	0.021485925	0.00828
0.136	-0.13188845044217	0.0216450722604978	0.0323128050062045	0.02164508	0.02237
0.137	-0.115813605582401	0.0218042272035897	0.0483876498659744	0.021804235	0.03778
0.138	-0.100582516623641	0.0219633821466816	0.063618738824734	0.02196339	0.05211
0.139	-0.0889547069191409	0.0221225370897735	0.0752465485292342	0.022122545	0.06276
0.14	-0.0835332975772231	0.0222816920328653	0.0806679578711519	0.0222817	0.06732
0.141	-0.0863911959108865	0.0224408469759572	0.0778100595374885	0.022440855	0.0639
0.142	-0.0987439195963813	0.0226000019190491	0.0654573358519937	0.02260001	0.05142
0.143	-0.120715842484905	0.022759156862141	0.0434854129634705	0.022759165	0.02982
0.144	-0.151236250782645	0.0229183118052329	0.0129650046657301	0.02291832	0.00018
0.145	-0.188085730373674	0.0230774667483248	-0.0238844749252986	0.023077475	-0.03534
0.146	-0.228094065459235	0.0232366216914167	-0.0638928100108596	0.02323663	-0.07371
0.147	-0.267470577484051	0.0233957766345086	-0.103269322035676	0.023395785	-0.11132
0.148	-0.302229448282546	0.0235549315776005	-0.138028192834171	0.02355494	-0.1444
0.149	-0.328658652991046	0.0237140865206924	-0.164457397542671	0.023714095	-0.16944
